id,franchise_id,franchise_name,restaurant_franchise_id,country,city,geohash,lng,lat
257698037796,37,Cafe Crepe,26468,IT,Milan,u0ne,9.171,45.533
25769803831,56,The Waffle House,72230,FR,Paris,u09w,2.305,48.873
85899345988,69,Dragonfly Cafe,18952,NL,Amsterdam,u176,4.911,52.392
111669149758,63,Cafe Paris,84488,NL,Amsterdam Zuidoost,u179,4.942,52.31
163208757268,21,The Lazy Daisy,96638,US,Columbus,dphu,-83.015,40.115
154618822662,7,Cafe Roma,41484,US,Tatum,9tym,-103.395,33.382
163208757290,43,The Food House,96638,IT,Milan,u0nd,9.224,45.474
266287972361,10,The Golden Spoon,11263,US,Marina,9q92,-121.792,36.684
171798691894,55,The Steak House,65939,GB,London,gcpu,0.0,51.502
197568495640,25,The Cozy Cafe,24784,US,Oskaloosa,9zq5,-92.646,41.324
163208757306,59,Azalea Cafe,96638,FR,Paris,u09w,2.294,48.871
42,43,The Food House,47732,AT,Vienna,u2e9,16.34,48.163
23,24,The Fisherman's Catch,47732,ES,Barcelona,sp3e,2.163,41.396
51539607572,21,The Lazy Daisy,6934,ES,Barcelona,sp3e,2.174,41.387
257698037775,16,The Spice Tree,26468,US,Morgantown,dpp1,-79.956,39.631
188978561036,13,The Firehouse,3642,US,Atlantic Beach,dq1m,-76.747,34.701
77309411367,40,Crimson Cafe,78190,AT,Vienna,u2ed,16.357,48.213
128849018902,23,The Hungry Pig,5679,ES,Barcelona,sp3e,2.171,41.389
223338299392,1,Savoria,36937,US,Washington,w4ru,100.987,13.368
103079215115,12,The Wooden Spoon,4340,US,Blythewood,dnn6,-80.974,34.214
77309411392,65,Chef's Corner,78190,GB,Paddington,gcpv,-0.177,51.514
25769803840,65,Chef's Corner,72230,GB,London,gcpv,-0.077,51.525
8589934620,29,The Olive Branch,12630,US,Baraboo,dp8p,-89.769,43.479
154618822685,30,The Wine Cellar,41484,US,Auburn,drsb,-71.841,42.2
249108103202,35,Basilica Bistro,55897,ES,Barcelona,sp3e,2.182,41.396
128849018940,61,Blue Water Bistro,5679,FR,Paris,u09w,2.285,48.879
214748364840,41,The Daily Bread,92040,AT,Vienna,u2ed,16.383,48.195
34359738417,50,The Pancake House,50333,US,Irving,u09w,2.283,48.869
257698037779,20,The Brasserie,26468,US,Laramie,9xkg,-105.617,41.325
120259084320,33,The Blue Elephant,59829,US,Portland,u092,1.893,47.939
111669149715,20,The Brasserie,84488,US,Willows,9r10,-122.212,39.527
111669149699,4,The Blue Plate,84488,US,El Paso,9tsk,-106.433,31.776
60129542195,52,The Red Door,71555,FR,Paris,u09w,2.326,48.872
137438953522,51,The Pizzeria,11038,GB,London,gcpu,-0.023,51.501
214748364856,57,The Yellow Submarine,92040,FR,Paris,u09t,2.347,48.865
146028888115,52,The Red Door,70611,AT,Vienna,u2ed,16.302,48.187
214748364857,58,A Tasty Bite,92040,FR,Paris,u09t,2.332,48.866
223338299406,15,The Pearl Kitchen,36937,US,Columbus,dpj5,-82.865,40.007
68719476798,63,Cafe Paris,77517,NL,Amsterdam,u173,4.845,52.358
34359738419,52,The Red Door,50333,FR,Paris,u09w,2.316,48.873
137438953477,6,The Daily Grind,11038,US,Oklahoma City,9y69,-97.526,35.48
137438953518,47,The Juicy Burger,11038,FR,Paris,u09w,2.343,48.875
266287972367,16,The Spice Tree,11263,US,Bordentown,dr4u,-74.752,40.119
180388626465,34,The Tasty Treat,7531,IT,Milan,u0nd,9.239,45.491
51539607598,47,The Juicy Burger,6934,FR,Paris,u09w,2.352,48.869
240518168585,10,The Golden Spoon,93164,US,Phoenix,9tbr,-112.114,33.625
146028888079,16,The Spice Tree,70611,US,Joplin,9ysf,-94.478,37.052
146028888120,57,The Yellow Submarine,70611,AT,Vienna,u2ed,16.355,48.231
68719476761,26,The Silver Spoon,77517,US,Eugene,9rb6,-123.087,44.05
77309411332,5,The Hungry Hippo,78190,US,Laurel,dj8s,-89.133,31.694
128849018935,56,The Waffle House,5679,FR,Paris,u09w,2.334,48.869
266287972399,48,The Local Cafe,11263,FR,Paris,u09t,2.324,48.845
103079215140,37,Cafe Crepe,4340,US,West Springfield,drkr,-72.626,42.121
223338299429,38,Cafe Viva,36937,FR,Paris,u09t,2.324,48.856
266287972426,75,Greenhouse Cafe,11263,GB,Paddington,gcpv,-0.18,51.512
154618822686,31,Bistro 42,41484,US,Detroit,dpsb,-83.041,42.335
137438953492,21,The Lazy Daisy,11038,US,Port Sanilac,dptr,-82.542,43.429
188978561087,64,Chateau de Cuisine,3642,FR,Paris,u09w,2.307,48.873
171798691893,54,The Spice House,65939,GB,London,gcpu,-0.18,51.5
240518168627,52,The Red Door,93164,AT,Vienna,u2ed,16.336,48.198
249108103204,37,Cafe Crepe,55897,US,Cambridge,drt3,-71.081,42.373
68719476786,51,The Pizzeria,77517,GB,London,gcpu,-0.215,51.493
85899345925,6,The Daily Grind,18952,US,West Monroe,9vy2,-92.169,32.51
180388626446,15,The Pearl Kitchen,7531,US,Stevens,dr1u,-76.246,40.246
197568495645,30,The Wine Cellar,24784,ES,Barcelona,sp3e,2.155,41.396
